kouji_No,gakku,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,area,ID
1071,Seta Minami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77700,5729929.053,135
1072,Seta Minami,0,0,0,0,0,0,0,0,0,0,0,0,165000,156000,148000,143000,136000,124000,114000,106000,97500,89800,86000,84600,87000,90000,88800,85100,82900,81700,80900,80800,80800,80600,78200,75000,72600,70800,69000,67400,66200,65700,65400,5729929.053,135
1073,Seta Minami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147000,140000,130000,120000,112000,102000,93200,88000,86300,88500,91000,90300,86500,83900,82900,82700,83500,84400,85300,85500,85800,86000,86200,86200,86300,86500,87200,88700,5729929.053,135
1074,Seta Minami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98500,102000,5729929.053,135
1075,Seta Minami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,132000,134000,137000,141000,5729929.053,135
1076,Seta Higashi,93000,97500,103000,107000,111000,118000,136000,245000,310000,273000,210000,193000,193000,174000,173000,163000,153000,145000,137000,128000,115000,105000,99900,98500,101000,106000,105000,101000,99100,98600,98600,102000,105000,107000,107000,108000,109000,110000,109000,111000,113000,116000,120000,3018341.601,136
1077,Seta Higashi,88000,91000,94300,98000,102000,107000,121000,200000,240000,225000,180000,175000,175000,166000,163000,152000,143000,129000,119000,111000,103000,98300,94800,94000,96100,102000,102000,98000,96000,95300,94800,94800,95700,97800,100000,102000,104000,106000,106000,106000,106000,107000,109000,3018341.601,136
1078,Seta Higashi,0,0,0,0,0,300000,484000,879000,1000000,820000,650000,580000,530000,450000,390000,335000,284000,238000,205000,179000,151000,130000,117000,115000,123000,137000,133000,127000,124000,122000,124000,128000,131000,134000,137000,141000,145000,149000,149000,151000,154000,160000,167000,3018341.601,136
1079,Seta Kita,100000,105000,109000,112000,115000,120000,133000,234000,280000,230000,190000,183000,183000,172000,167000,160000,150000,145000,138000,130000,117000,106000,101000,100000,105000,112000,111000,106000,104000,104000,105000,108000,110000,112000,114000,116000,117000,118000,118000,119000,120000,123000,127000,2059105.879,137
1080,Seta Kita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233000,238000,243000,249000,257000,255000,259000,264000,270000,279000,2059105.879,137
1081,Seta Kita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98500,92700,91500,97000,107000,106000,100000,96600,95000,95000,97000,98000,98800,99400,99900,101000,102000,102000,103000,104000,107000,110000,2059105.879,137
