gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Seiran,2021,17702,1730,1078,10370,4524,0.09772907,0.255564343
Seiran,2022,17709,1658,1067,10415,4569,0.093624711,0.258004405
Seiran,2023,17606,1636,1078,10318,4574,0.092922867,0.259797796
Seiran,2024,17617,1614,1103,10322,4578,0.091616053,0.259862633
Seiran,2025,17545,1579,1136,10251,4579,0.08999715,0.260986036
Seta,2018,14295,2303,1110,8543,2339,0.161105282,0.163623645
Seta,2019,14472,2242,1159,8650,2421,0.154919845,0.167288557
Seta,2020,14588,2192,1158,8741,2497,0.150260488,0.171168083
Seta,2021,14676,2125,1206,8805,2540,0.144794222,0.173071682
Seta,2022,14838,2040,1295,8930,2573,0.137484836,0.173406119
Seta,2023,14937,1951,1359,8998,2629,0.130615251,0.176005891
Seta,2024,14965,1881,1405,8998,2681,0.125693284,0.179151353
Seta,2025,15050,1819,1467,9042,2722,0.120863787,0.180863787
Seta Higashi,2018,15603,1902,1077,9023,3601,0.121899635,0.230788951
Seta Higashi,2019,15599,1855,1045,9001,3698,0.118917879,0.237066479
Seta Higashi,2020,15552,1799,1064,8936,3753,0.11567644,0.241319444
Seta Higashi,2021,15542,1756,1040,8921,3825,0.112984172,0.246107322
Seta Higashi,2022,15522,1679,1065,8903,3875,0.10816905,0.249645664
Seta Higashi,2023,15458,1641,1040,8855,3922,0.106158623,0.253719757
Seta Higashi,2024,15400,1603,1035,8842,3920,0.104090909,0.254545455
Seta Higashi,2025,15441,1561,1052,8879,3949,0.101094489,0.255747685
Seta Kita,2018,17977,2415,1458,11440,2664,0.134338321,0.148189353
Seta Kita,2019,18498,2445,1439,11830,2784,0.132176452,0.150502757
Seta Kita,2020,19045,2504,1408,12243,2890,0.131478078,0.151745865
Seta Kita,2021,19162,2510,1395,12298,2959,0.130988415,0.154420207
Seta Kita,2022,19214,2456,1397,12336,3025,0.127823462,0.157437285
Seta Kita,2023,19268,2386,1415,12374,3093,0.123832261,0.160525223
Seta Kita,2024,19401,2376,1414,12455,3156,0.122467914,0.162672027
Seta Kita,2025,19772,2397,1408,12730,3237,0.121232045,0.163716367
